timestep,question ,action_node_id, bubble_size, bubble_scale
t4,Show me left shoulder,15,0,2
t5,Show me Lower Body,3,2,0
50,50,50,50,50
t1,Show me right shoulder,12,2,1
t2,Show me Neck,5,2,0
t3,Show me Upper Body,2,1,0
t4,Show me left knee,18,0,1
t5,Show me right ankle,22,1,2
t6,Show me right wrist,13,2,1
t7,Show me left arm,6,2,0
50,50,50,50,50
t1,Show me right elbow,11,0,2
t2,Show me Head,4,1,2
t3,Show me right shoulder,12,0,0
t4,Show me right leg,10,1,1
t5,Show me right arm,7,0,2
t6,Show me left leg,9,1,2
t7,Show me right wrist,13,2,1
50,50,50,50,50
t1,Show me right shoulder,12,2,0
t2,Show me right ankle,22,1,0
t3,Show me left elbow,14,0,1
t4,Show me Lower Body,3,2,2
t5,Show me torso,8,0,2
t6,Show me right hip,20,2,2
t7,Show me Upper Body,2,2,0
t8,Show me right ankle,22,1,0
50,50,50,50,50
t1,Show me left leg,9,0,2
t2,Show me right elbow,11,0,2
t3,Show me left elbow,14,0,1
t4,Show me Head,4,2,1
t5,Show me right wrist,13,1,2
50,50,50,50,50
t1,Show me left hip,17,2,1
t2,Show me right knee,21,2,2
t3,Show me left shoulder,15,0,0
t4,Show me left shoulder,15,1,2
t5,Show me Upper Body,2,1,2
t6,Show me Neck,5,2,0
50,50,50,50,50
t1,Show me left elbow,14,1,1
t2,Show me Neck,5,1,1
t3,Show me left ankle,19,0,0
t4,Show me left hip,17,2,2
t5,Show me torso,8,0,1
t6,Show me right leg,10,2,2
t7,Show me left arm,6,1,0
t8,Show me left ankle,19,0,2
t9,Show me left arm,6,0,1
t10,Show me Neck,5,1,0
50,50,50,50,50
t1,Show me left elbow,14,0,2
t2,Show me Full Body,1,2,0
t3,Show me left hip,17,2,1
t4,Show me left knee,18,0,2
t5,Show me Upper Body,2,0,2
50,50,50,50,50
t1,Show me left arm,6,2,1
t2,Show me left hip,17,0,2
t3,Show me right knee,21,0,1
t4,Show me left shoulder,15,1,1
t5,Show me left ankle,19,2,2
t6,Show me right leg,10,2,2
t7,Show me Head,4,2,1
t8,Show me left wrist,16,0,1
50,50,50,50,50
t1,Show me left ankle,19,1,1
t2,Show me right ankle,22,1,1
t3,Show me right ankle,22,0,1
t4,Show me right elbow,11,0,0
t5,Show me right leg,10,1,0
t6,Show me left arm,6,1,0
t7,Show me Upper Body,2,1,2
t8,Show me Lower Body,3,2,1
t9,Show me right hip,20,2,0
t10,Show me left wrist,16,2,2
50,50,50,50,50
t1,Show me left wrist,16,1,2
t2,Show me right arm,7,2,0
t3,Show me Neck,5,2,1
t4,Show me Neck,5,1,0
t5,Show me right ankle,22,1,1
t6,Show me Upper Body,2,1,0
t7,Show me left leg,9,2,0
t8,Show me Full Body,1,1,2
50,50,50,50,50
t1,Show me right wrist,13,1,2
t2,Show me left wrist,16,0,0
t3,Show me left arm,6,0,2
t4,Show me left shoulder,15,2,2
t5,Show me left ankle,19,0,2
t6,Show me Full Body,1,1,1
t7,Show me right shoulder,12,2,0
t8,Show me right shoulder,12,1,2
t9,Show me right elbow,11,0,0
t10,Show me right shoulder,12,2,1
50,50,50,50,50
t1,Show me left hip,17,0,2
t2,Show me Upper Body,2,2,2
t3,Show me left arm,6,0,2
t4,Show me right shoulder,12,0,2
t5,Show me right shoulder,12,1,0
50,50,50,50,50
t1,Show me right leg,10,2,1
t2,Show me Full Body,1,2,2
t3,Show me right elbow,11,0,1
t4,Show me right ankle,22,2,0
t5,Show me Full Body,1,1,1
t6,Show me left hip,17,1,2
t7,Show me Head,4,0,2
t8,Show me torso,8,1,1
t9,Show me left elbow,14,2,1
t10,Show me left wrist,16,2,1
50,50,50,50,50
t1,Show me left leg,9,1,2
t2,Show me right ankle,22,2,0
t3,Show me right shoulder,12,2,0
t4,Show me left ankle,19,0,2
t5,Show me Neck,5,0,1
t6,Show me right leg,10,0,0
50,50,50,50,50
t1,Show me Lower Body,3,0,1
t2,Show me left ankle,19,0,2
t3,Show me left hip,17,0,1
t4,Show me right shoulder,12,2,2
t5,Show me right leg,10,0,0
50,50,50,50,50
t1,Show me torso,8,0,0
t2,Show me left elbow,14,1,1
t3,Show me Full Body,1,2,0
t4,Show me Neck,5,2,0
t5,Show me left wrist,16,1,0
t6,Show me left wrist,16,0,0
50,50,50,50,50
t1,Show me left hip,17,2,2
t2,Show me left arm,6,2,0
t3,Show me left arm,6,1,1
t4,Show me left elbow,14,2,0
t5,Show me left wrist,16,2,1
t6,Show me left hip,17,2,1
t7,Show me left wrist,16,0,1
50,50,50,50,50
t1,Show me left leg,9,1,2
t2,Show me right wrist,13,1,2
t3,Show me left shoulder,15,2,0
t4,Show me right ankle,22,0,2
t5,Show me left arm,6,1,1
t6,Show me left ankle,19,0,1
t7,Show me Lower Body,3,0,2
t8,Show me left ankle,19,0,2
t9,Show me left elbow,14,2,2
50,50,50,50,50
t1,Show me Full Body,1,2,2
t2,Show me left elbow,14,2,0
t3,Show me left shoulder,15,0,0
t4,Show me right shoulder,12,2,2
t5,Show me right knee,21,2,1
50,50,50,50,50
t1,Show me right hip,20,2,1
t2,Show me right hip,20,1,1
t3,Show me left hip,17,1,1
t4,Show me right leg,10,1,0
t5,Show me torso,8,1,2
t6,Show me left leg,9,0,0
t7,Show me Upper Body,2,2,2
t8,Show me left elbow,14,1,2
50,50,50,50,50
t1,Show me right leg,10,1,2
t2,Show me left wrist,16,0,1
t3,Show me left knee,18,1,2
t4,Show me left arm,6,2,0
t5,Show me Head,4,1,1
t6,Show me torso,8,1,2
t7,Show me left wrist,16,0,2
t8,Show me right leg,10,2,0
t9,Show me right shoulder,12,1,1
t10,Show me Upper Body,2,0,1
50,50,50,50,50
t1,Show me right leg,10,1,2
t2,Show me left arm,6,0,2
t3,Show me Lower Body,3,1,0
t4,Show me left elbow,14,1,0
t5,Show me Full Body,1,2,0
t6,Show me right arm,7,0,2
t7,Show me right shoulder,12,1,2
t8,Show me left elbow,14,2,2
t9,Show me right leg,10,0,1
t10,Show me Full Body,1,0,1
50,50,50,50,50
t1,Show me right shoulder,12,0,1
t2,Show me Head,4,0,1
t3,Show me left arm,6,0,2
t4,Show me left ankle,19,0,0
t5,Show me right knee,21,0,0
t6,Show me left hip,17,2,2
t7,Show me left leg,9,0,2
t8,Show me left hip,17,0,2
50,50,50,50,50
t1,Show me Neck,5,2,1
t2,Show me torso,8,1,0
t3,Show me Neck,5,0,1
t4,Show me Upper Body,2,2,1
t5,Show me right wrist,13,0,0
t6,Show me right elbow,11,0,0
50,50,50,50,50
t1,Show me Lower Body,3,1,2
t2,Show me right leg,10,2,1
t3,Show me left elbow,14,1,0
t4,Show me Lower Body,3,0,1
t5,Show me right knee,21,0,0
t6,Show me torso,8,2,1
t7,Show me Upper Body,2,1,2
50,50,50,50,50
t1,Show me right hip,20,0,2
t2,Show me right hip,20,0,2
t3,Show me left arm,6,1,1
t4,Show me right leg,10,1,2
t5,Show me right elbow,11,0,0
t6,Show me Upper Body,2,0,1
t7,Show me right knee,21,1,2
t8,Show me Upper Body,2,0,0
50,50,50,50,50
t1,Show me right arm,7,2,2
t2,Show me right ankle,22,0,1
t3,Show me right ankle,22,2,0
t4,Show me right ankle,22,0,2
t5,Show me Head,4,1,1
t6,Show me right shoulder,12,0,0
50,50,50,50,50
t1,Show me right knee,21,1,2
t2,Show me Lower Body,3,0,1
t3,Show me left hip,17,0,0
t4,Show me Neck,5,1,0
t5,Show me right knee,21,1,0
50,50,50,50,50
t1,Show me right leg,10,0,1
t2,Show me right hip,20,1,1
t3,Show me right arm,7,2,1
t4,Show me Lower Body,3,2,1
t5,Show me right ankle,22,0,1
t6,Show me right hip,20,2,0
t7,Show me right leg,10,0,0
t8,Show me Lower Body,3,0,1
50,50,50,50,50
t1,Show me left leg,9,0,0
t2,Show me right leg,10,1,2
t3,Show me left shoulder,15,2,0
t4,Show me right shoulder,12,0,0
t5,Show me left knee,18,0,0
t6,Show me right arm,7,2,0
t7,Show me Head,4,1,2
t8,Show me left shoulder,15,0,1
t9,Show me left arm,6,0,0
50,50,50,50,50
t1,Show me right shoulder,12,2,1
t2,Show me left knee,18,0,2
t3,Show me left hip,17,0,0
t4,Show me left hip,17,2,0
t5,Show me left arm,6,2,0
t6,Show me Upper Body,2,0,1
t7,Show me left ankle,19,1,1
t8,Show me Upper Body,2,0,0
t9,Show me right ankle,22,1,0
t10,Show me left leg,9,2,1
50,50,50,50,50
t1,Show me left arm,6,2,2
t2,Show me Upper Body,2,0,0
t3,Show me right knee,21,2,1
t4,Show me Head,4,0,0
t5,Show me left elbow,14,2,0
t6,Show me left hip,17,0,2
t7,Show me right shoulder,12,2,0
t8,Show me Head,4,0,2
50,50,50,50,50
t1,Show me left knee,18,1,2
t2,Show me right shoulder,12,2,2
t3,Show me left hip,17,0,2
t4,Show me right knee,21,1,2
t5,Show me right knee,21,0,2
t6,Show me left hip,17,2,2
t7,Show me Full Body,1,1,0
t8,Show me right hip,20,2,2
t9,Show me right leg,10,0,0
t10,Show me Lower Body,3,1,2
50,50,50,50,50
t1,Show me left leg,9,1,0
t2,Show me left elbow,14,0,0
t3,Show me left hip,17,2,0
t4,Show me left wrist,16,2,0
t5,Show me right knee,21,2,1
t6,Show me Head,4,1,2
t7,Show me right wrist,13,0,2
t8,Show me left ankle,19,0,2
t9,Show me left hip,17,1,2
50,50,50,50,50
t1,Show me torso,8,0,0
t2,Show me Lower Body,3,2,2
t3,Show me left elbow,14,0,0
t4,Show me left wrist,16,1,1
t5,Show me right wrist,13,0,0
t6,Show me Full Body,1,0,2
50,50,50,50,50
t1,Show me right ankle,22,0,0
t2,Show me left leg,9,2,0
t3,Show me right ankle,22,2,0
t4,Show me right leg,10,0,0
t5,Show me right ankle,22,1,2
t6,Show me left hip,17,0,0
t7,Show me Full Body,1,1,0
t8,Show me right elbow,11,0,1
50,50,50,50,50
t1,Show me left ankle,19,1,2
t2,Show me left knee,18,0,2
t3,Show me Full Body,1,1,2
t4,Show me right leg,10,2,2
t5,Show me right knee,21,0,2
t6,Show me left knee,18,0,1
50,50,50,50,50
t1,Show me Head,4,2,0
t2,Show me left arm,6,2,1
t3,Show me right knee,21,0,1
t4,Show me right hip,20,2,2
t5,Show me left arm,6,1,0
t6,Show me right wrist,13,1,2
t7,Show me right leg,10,2,2
t8,Show me left arm,6,0,1
t9,Show me right elbow,11,2,2
t10,Show me right leg,10,1,1
50,50,50,50,50
t1,Show me Lower Body,3,1,1
t2,Show me Neck,5,0,1
t3,Show me right arm,7,2,0
t4,Show me left ankle,19,2,1
t5,Show me left ankle,19,0,1
t6,Show me left leg,9,0,2
t7,Show me Lower Body,3,0,0
t8,Show me left knee,18,1,2
t9,Show me torso,8,2,2
t10,Show me left leg,9,2,1
50,50,50,50,50
t1,Show me right knee,21,1,0
t2,Show me right leg,10,0,2
t3,Show me left shoulder,15,1,0
t4,Show me right ankle,22,0,1
t5,Show me Full Body,1,0,2
t6,Show me right ankle,22,2,0
t7,Show me right ankle,22,1,1
t8,Show me right wrist,13,2,2
50,50,50,50,50
t1,Show me right knee,21,1,1
t2,Show me Head,4,0,2
t3,Show me right elbow,11,1,1
t4,Show me right elbow,11,2,2
t5,Show me Lower Body,3,1,0
50,50,50,50,50
t1,Show me Full Body,1,0,2
t2,Show me left ankle,19,1,0
t3,Show me left ankle,19,0,1
t4,Show me Full Body,1,1,2
t5,Show me Upper Body,2,1,1
t6,Show me left wrist,16,1,0
t7,Show me right shoulder,12,2,2
50,50,50,50,50
t1,Show me Lower Body,3,2,1
t2,Show me left wrist,16,2,1
t3,Show me Neck,5,0,2
t4,Show me left elbow,14,2,1
t5,Show me left shoulder,15,2,2
t6,Show me left hip,17,1,1
t7,Show me torso,8,0,1
t8,Show me right arm,7,1,2
t9,Show me Neck,5,0,1
50,50,50,50,50
t1,Show me left hip,17,0,0
t2,Show me left arm,6,0,1
t3,Show me Full Body,1,2,0
t4,Show me right leg,10,0,1
t5,Show me left shoulder,15,2,0
t6,Show me right arm,7,0,1
50,50,50,50,50
t1,Show me left knee,18,2,2
t2,Show me Head,4,2,1
t3,Show me right hip,20,1,1
t4,Show me left elbow,14,1,0
t5,Show me left wrist,16,0,0
50,50,50,50,50
t1,Show me left knee,18,1,0
t2,Show me left leg,9,1,2
t3,Show me left arm,6,2,1
t4,Show me left knee,18,1,0
t5,Show me right ankle,22,0,0
t6,Show me right leg,10,1,1
t7,Show me left leg,9,1,1
t8,Show me right shoulder,12,1,2
t9,Show me left leg,9,1,0
t10,Show me left hip,17,1,1
50,50,50,50,50
t1,Show me left shoulder,15,0,0
t2,Show me left knee,18,1,2
t3,Show me right shoulder,12,2,1
t4,Show me right knee,21,0,2
t5,Show me Lower Body,3,2,1
50,50,50,50,50
t1,Show me left knee,18,1,2
t2,Show me left hip,17,1,1
t3,Show me Full Body,1,0,0
t4,Show me Full Body,1,2,0
t5,Show me right arm,7,0,0
50,50,50,50,50
t1,Show me right elbow,11,0,2
t2,Show me left ankle,19,0,1
t3,Show me torso,8,2,2
t4,Show me left arm,6,0,0
t5,Show me left wrist,16,1,0
t6,Show me Full Body,1,2,1
t7,Show me Neck,5,2,2
t8,Show me right knee,21,0,1
t9,Show me left elbow,14,2,1
50,50,50,50,50
t1,Show me left elbow,14,0,0
t2,Show me Full Body,1,0,1
t3,Show me Upper Body,2,0,1
t4,Show me right knee,21,1,1
t5,Show me left shoulder,15,1,0
t6,Show me right elbow,11,2,1
t7,Show me right leg,10,2,1
t8,Show me right ankle,22,1,2
t9,Show me right arm,7,2,1
50,50,50,50,50
t1,Show me right arm,7,0,2
t2,Show me right hip,20,2,0
t3,Show me left knee,18,0,0
t4,Show me left knee,18,2,1
t5,Show me right shoulder,12,0,2
t6,Show me left shoulder,15,2,0
t7,Show me left shoulder,15,2,0
50,50,50,50,50
t1,Show me right arm,7,2,1
t2,Show me Neck,5,0,2
t3,Show me torso,8,2,1
t4,Show me Head,4,0,1
t5,Show me left hip,17,0,0
t6,Show me left arm,6,0,2
50,50,50,50,50
t1,Show me Head,4,1,1
t2,Show me right wrist,13,2,0
t3,Show me left wrist,16,2,2
t4,Show me left elbow,14,1,1
t5,Show me left knee,18,0,0
t6,Show me left arm,6,1,2
t7,Show me left leg,9,0,0
50,50,50,50,50
t1,Show me left shoulder,15,0,1
t2,Show me right arm,7,2,1
t3,Show me right shoulder,12,1,0
t4,Show me right knee,21,0,0
t5,Show me right knee,21,0,1
t6,Show me left knee,18,1,2
t7,Show me left shoulder,15,0,2
t8,Show me right ankle,22,0,2
t9,Show me right hip,20,0,0
t10,Show me right arm,7,2,1
50,50,50,50,50
t1,Show me right arm,7,2,2
t2,Show me right ankle,22,2,2
t3,Show me left hip,17,2,0
t4,Show me left elbow,14,0,1
t5,Show me right leg,10,0,0
t6,Show me right shoulder,12,2,0
t7,Show me torso,8,1,2
t8,Show me Head,4,2,1
50,50,50,50,50
t1,Show me Upper Body,2,2,2
t2,Show me right arm,7,1,2
t3,Show me right leg,10,1,1
t4,Show me left leg,9,2,1
t5,Show me right arm,7,2,2
t6,Show me left wrist,16,0,0
t7,Show me right wrist,13,2,1
50,50,50,50,50
t1,Show me left arm,6,0,1
t2,Show me left ankle,19,0,0
t3,Show me right knee,21,0,0
t4,Show me Full Body,1,2,1
t5,Show me left leg,9,0,2
50,50,50,50,50
t1,Show me right ankle,22,2,2
t2,Show me left ankle,19,2,1
t3,Show me right leg,10,2,0
t4,Show me Upper Body,2,2,2
t5,Show me right elbow,11,0,0
50,50,50,50,50
t1,Show me left knee,18,0,2
t2,Show me right leg,10,1,2
t3,Show me right wrist,13,2,0
t4,Show me Full Body,1,2,1
t5,Show me right knee,21,0,2
t6,Show me Full Body,1,0,1
t7,Show me right arm,7,1,0
50,50,50,50,50
t1,Show me left wrist,16,1,1
t2,Show me Head,4,0,2
t3,Show me Neck,5,1,2
t4,Show me torso,8,1,0
t5,Show me right arm,7,1,0
t6,Show me Upper Body,2,2,0
t7,Show me left ankle,19,0,0
t8,Show me right shoulder,12,2,1
t9,Show me Full Body,1,2,1
50,50,50,50,50
t1,Show me Full Body,1,1,0
t2,Show me right leg,10,1,0
t3,Show me left wrist,16,0,0
t4,Show me left knee,18,1,0
t5,Show me right leg,10,0,1
t6,Show me right wrist,13,0,0
t7,Show me left ankle,19,2,2
50,50,50,50,50
t1,Show me Full Body,1,1,1
t2,Show me left knee,18,0,2
t3,Show me Head,4,2,1
t4,Show me left ankle,19,2,1
t5,Show me right elbow,11,1,2
t6,Show me right arm,7,0,0
50,50,50,50,50
t1,Show me left elbow,14,2,1
t2,Show me left elbow,14,1,1
t3,Show me right knee,21,2,1
t4,Show me left shoulder,15,0,1
t5,Show me torso,8,1,0
t6,Show me right knee,21,0,2
t7,Show me torso,8,0,1
50,50,50,50,50
t1,Show me right ankle,22,0,1
t2,Show me Lower Body,3,2,2
t3,Show me right elbow,11,1,1
t4,Show me left arm,6,0,1
t5,Show me right elbow,11,2,1
t6,Show me Full Body,1,1,0
t7,Show me right hip,20,2,2
t8,Show me right wrist,13,0,2
50,50,50,50,50
t1,Show me right arm,7,1,0
t2,Show me Lower Body,3,2,0
t3,Show me Lower Body,3,1,0
t4,Show me left shoulder,15,1,2
t5,Show me right shoulder,12,2,1
t6,Show me left arm,6,1,1
t7,Show me left ankle,19,2,0
t8,Show me Full Body,1,1,1
50,50,50,50,50
t1,Show me Head,4,2,2
t2,Show me left ankle,19,1,0
t3,Show me right elbow,11,0,1
t4,Show me Neck,5,1,1
t5,Show me left hip,17,1,2
t6,Show me right ankle,22,0,2
t7,Show me left shoulder,15,0,0
t8,Show me right hip,20,2,1
t9,Show me Full Body,1,1,2
50,50,50,50,50
t1,Show me Head,4,1,1
t2,Show me Head,4,1,0
t3,Show me left arm,6,2,0
t4,Show me right hip,20,1,2
t5,Show me right wrist,13,1,2
t6,Show me right leg,10,0,1
t7,Show me torso,8,0,1
t8,Show me left elbow,14,0,1
t9,Show me Head,4,0,2
50,50,50,50,50
t1,Show me left arm,6,2,1
t2,Show me left arm,6,1,0
t3,Show me right wrist,13,2,2
t4,Show me left elbow,14,0,0
t5,Show me right knee,21,1,1
t6,Show me left arm,6,0,1
t7,Show me left elbow,14,1,1
t8,Show me right knee,21,2,1
t9,Show me right knee,21,1,2
50,50,50,50,50
t1,Show me left ankle,19,1,1
t2,Show me Lower Body,3,0,2
t3,Show me right ankle,22,2,1
t4,Show me right leg,10,1,1
t5,Show me right elbow,11,2,0
t6,Show me Full Body,1,2,2
t7,Show me right hip,20,2,1
50,50,50,50,50
t1,Show me torso,8,1,0
t2,Show me right ankle,22,2,2
t3,Show me torso,8,2,2
t4,Show me right wrist,13,2,1
t5,Show me left ankle,19,2,1
50,50,50,50,50
t1,Show me right arm,7,1,0
t2,Show me left leg,9,2,2
t3,Show me right hip,20,2,2
t4,Show me left arm,6,1,0
t5,Show me Lower Body,3,1,2
t6,Show me left shoulder,15,2,0
t7,Show me left arm,6,2,1
50,50,50,50,50
t1,Show me torso,8,2,2
t2,Show me torso,8,0,1
t3,Show me right knee,21,1,2
t4,Show me right arm,7,0,0
t5,Show me Lower Body,3,2,1
t6,Show me left arm,6,0,2
t7,Show me right wrist,13,2,1
t8,Show me right wrist,13,2,2
t9,Show me right knee,21,1,2
t10,Show me right knee,21,1,0
50,50,50,50,50
t1,Show me left arm,6,0,0
t2,Show me right ankle,22,0,1
t3,Show me left arm,6,0,0
t4,Show me Head,4,0,1
t5,Show me Lower Body,3,0,2
t6,Show me left knee,18,2,0
t7,Show me Upper Body,2,1,0
t8,Show me right wrist,13,1,0
t9,Show me left leg,9,2,1
